"","Time","Var","Value","EPU"
"1",1988,"log-Seal",NA,"NE"
"2",1988,"log-Monomoy",NA,"NE"
"3",1988,"log-Muskeget",1.6094379124341,"NE"
"4",1988,"log-Green",NA,"NE"
"5",1988,"log-Nomans.Land",NA,"NE"
"6",1989,"log-Seal",NA,"NE"
"7",1989,"log-Monomoy",NA,"NE"
"8",1989,"log-Muskeget",0,"NE"
"9",1989,"log-Green",NA,"NE"
"10",1989,"log-Nomans.Land",NA,"NE"
"11",1990,"log-Seal",NA,"NE"
"12",1990,"log-Monomoy",2.19722457733622,"NE"
"13",1990,"log-Muskeget",NA,"NE"
"14",1990,"log-Green",NA,"NE"
"15",1990,"log-Nomans.Land",NA,"NE"
"16",1991,"log-Seal",NA,"NE"
"17",1991,"log-Monomoy",1.09861228866811,"NE"
"18",1991,"log-Muskeget",1.79175946922805,"NE"
"19",1991,"log-Green",NA,"NE"
"20",1991,"log-Nomans.Land",NA,"NE"
"21",1992,"log-Seal",NA,"NE"
"22",1992,"log-Monomoy",0,"NE"
"23",1992,"log-Muskeget",2.484906649788,"NE"
"24",1992,"log-Green",NA,"NE"
"25",1992,"log-Nomans.Land",NA,"NE"
"26",1993,"log-Seal",NA,"NE"
"27",1993,"log-Monomoy",NA,"NE"
"28",1993,"log-Muskeget",3.3322045101752,"NE"
"29",1993,"log-Green",NA,"NE"
"30",1993,"log-Nomans.Land",NA,"NE"
"31",1994,"log-Seal",0,"NE"
"32",1994,"log-Monomoy",0,"NE"
"33",1994,"log-Muskeget",4.04305126783455,"NE"
"34",1994,"log-Green",3.66356164612965,"NE"
"35",1994,"log-Nomans.Land",NA,"NE"
"36",1995,"log-Seal",NA,"NE"
"37",1995,"log-Monomoy",0.693147180559945,"NE"
"38",1995,"log-Muskeget",4.58496747867057,"NE"
"39",1995,"log-Green",3.87120101090789,"NE"
"40",1995,"log-Nomans.Land",NA,"NE"
"41",1996,"log-Seal",NA,"NE"
"42",1996,"log-Monomoy",1.79175946922805,"NE"
"43",1996,"log-Muskeget",5.08759633523238,"NE"
"44",1996,"log-Green",NA,"NE"
"45",1996,"log-Nomans.Land",NA,"NE"
"46",1997,"log-Seal",NA,"NE"
"47",1997,"log-Monomoy",2.30258509299405,"NE"
"48",1997,"log-Muskeget",5.35658627467201,"NE"
"49",1997,"log-Green",3.49650756146648,"NE"
"50",1997,"log-Nomans.Land",NA,"NE"
"51",1998,"log-Seal",NA,"NE"
"52",1998,"log-Monomoy",NA,"NE"
"53",1998,"log-Muskeget",5.80814248998044,"NE"
"54",1998,"log-Green",NA,"NE"
"55",1998,"log-Nomans.Land",NA,"NE"
"56",1999,"log-Seal",NA,"NE"
"57",1999,"log-Monomoy",NA,"NE"
"58",1999,"log-Muskeget",6.15697898558556,"NE"
"59",1999,"log-Green",3.3322045101752,"NE"
"60",1999,"log-Nomans.Land",NA,"NE"
"61",2000,"log-Seal",4.34380542185368,"NE"
"62",2000,"log-Monomoy",NA,"NE"
"63",2000,"log-Muskeget",6.45047042214418,"NE"
"64",2000,"log-Green",3.49650756146648,"NE"
"65",2000,"log-Nomans.Land",NA,"NE"
"66",2001,"log-Seal",4.51085950651685,"NE"
"67",2001,"log-Monomoy",NA,"NE"
"68",2001,"log-Muskeget",NA,"NE"
"69",2001,"log-Green",NA,"NE"
"70",2001,"log-Nomans.Land",NA,"NE"
"71",2002,"log-Seal",4.99043258677874,"NE"
"72",2002,"log-Monomoy",0,"NE"
"73",2002,"log-Muskeget",6.78332520060396,"NE"
"74",2002,"log-Green",3.52636052461616,"NE"
"75",2002,"log-Nomans.Land",NA,"NE"
"76",2003,"log-Seal",NA,"NE"
"77",2003,"log-Monomoy",0,"NE"
"78",2003,"log-Muskeget",NA,"NE"
"79",2003,"log-Green",NA,"NE"
"80",2003,"log-Nomans.Land",NA,"NE"
"81",2004,"log-Seal",5.01063529409626,"NE"
"82",2004,"log-Monomoy",1.38629436111989,"NE"
"83",2004,"log-Muskeget",6.71417052990947,"NE"
"84",2004,"log-Green",3.25809653802148,"NE"
"85",2004,"log-Nomans.Land",NA,"NE"
"86",2005,"log-Seal",5.89989735358249,"NE"
"87",2005,"log-Monomoy",0,"NE"
"88",2005,"log-Muskeget",6.89972310728487,"NE"
"89",2005,"log-Green",3.49650756146648,"NE"
"90",2005,"log-Nomans.Land",NA,"NE"
"91",2006,"log-Seal",5.47646355193151,"NE"
"92",2006,"log-Monomoy",2.07944154167984,"NE"
"93",2006,"log-Muskeget",6.76619171466035,"NE"
"94",2006,"log-Green",3.76120011569356,"NE"
"95",2006,"log-Nomans.Land",NA,"NE"
"96",2007,"log-Seal",5.89715386763674,"NE"
"97",2007,"log-Monomoy",2.19722457733622,"NE"
"98",2007,"log-Muskeget",7.44073370738926,"NE"
"99",2007,"log-Green",4.04305126783455,"NE"
"100",2007,"log-Nomans.Land",NA,"NE"
"101",2008,"log-Seal",6.14418563412565,"NE"
"102",2008,"log-Monomoy",0.693147180559945,"NE"
"103",2008,"log-Muskeget",7.64730883235624,"NE"
"104",2008,"log-Green",4.07753744390572,"NE"
"105",2008,"log-Nomans.Land",NA,"NE"
"106",2009,"log-Seal",NA,"NE"
"107",2009,"log-Monomoy",4.21950770517611,"NE"
"108",2009,"log-Muskeget",NA,"NE"
"109",2009,"log-Green",3.87120101090789,"NE"
"110",2009,"log-Nomans.Land",NA,"NE"
"111",2010,"log-Seal",NA,"NE"
"112",2010,"log-Monomoy",5.03695260241363,"NE"
"113",2010,"log-Muskeget",7.51806418123308,"NE"
"114",2010,"log-Green",3.93182563272433,"NE"
"115",2010,"log-Nomans.Land",NA,"NE"
"116",2011,"log-Seal",NA,"NE"
"117",2011,"log-Monomoy",5.78382518232974,"NE"
"118",2011,"log-Muskeget",8.06243279158319,"NE"
"119",2011,"log-Green",4.17438726989564,"NE"
"120",2011,"log-Nomans.Land",0,"NE"
"121",2012,"log-Seal",NA,"NE"
"122",2012,"log-Monomoy",NA,"NE"
"123",2012,"log-Muskeget",7.9483852851119,"NE"
"124",2012,"log-Green",3.71357206670431,"NE"
"125",2012,"log-Nomans.Land",2.07944154167984,"NE"
"126",2013,"log-Seal",NA,"NE"
"127",2013,"log-Monomoy",6.45047042214418,"NE"
"128",2013,"log-Muskeget",7.91935619066062,"NE"
"129",2013,"log-Green",NA,"NE"
"130",2013,"log-Nomans.Land",1.38629436111989,"NE"
"131",2014,"log-Seal",NA,"NE"
"132",2014,"log-Monomoy",6.22851100359118,"NE"
"133",2014,"log-Muskeget",8.03040956213048,"NE"
"134",2014,"log-Green",3.40119738166216,"NE"
"135",2014,"log-Nomans.Land",2.77258872223978,"NE"
"136",2015,"log-Seal",NA,"NE"
"137",2015,"log-Monomoy",6.64378973314767,"NE"
"138",2015,"log-Muskeget",NA,"NE"
"139",2015,"log-Green",3.49650756146648,"NE"
"140",2015,"log-Nomans.Land",3.13549421592915,"NE"
"141",2016,"log-Seal",6.94985645500077,"NE"
"142",2016,"log-Monomoy",6.84054652928869,"NE"
"143",2016,"log-Muskeget",8.2393294279018,"NE"
"144",2016,"log-Green",3.52636052461616,"NE"
"145",2016,"log-Nomans.Land",3.46573590279973,"NE"
"146",2017,"log-Seal",NA,"NE"
"147",2017,"log-Monomoy",NA,"NE"
"148",2017,"log-Muskeget",NA,"NE"
"149",2017,"log-Green",NA,"NE"
"150",2017,"log-Nomans.Land",NA,"NE"
"151",2018,"log-Seal",NA,"NE"
"152",2018,"log-Monomoy",NA,"NE"
"153",2018,"log-Muskeget",NA,"NE"
"154",2018,"log-Green",NA,"NE"
"155",2018,"log-Nomans.Land",NA,"NE"
"156",2019,"log-Seal",6.74993119378857,"NE"
"157",2019,"log-Monomoy",7.08170858610557,"NE"
"158",2019,"log-Muskeget",8.16961956172385,"NE"
"159",2019,"log-Green",2.77258872223978,"NE"
"160",2019,"log-Nomans.Land",4.27666611901606,"NE"
"161",2020,"log-Seal",NA,"NE"
"162",2020,"log-Monomoy",NA,"NE"
"163",2020,"log-Muskeget",NA,"NE"
"164",2020,"log-Green",NA,"NE"
"165",2020,"log-Nomans.Land",NA,"NE"
"166",2021,"log-Seal",6.70808408385307,"NE"
"167",2021,"log-Monomoy",6.64898455002478,"NE"
"168",2021,"log-Muskeget",8.30745932701195,"NE"
"169",2021,"log-Green",2.484906649788,"NE"
"170",2021,"log-Nomans.Land",5.09375020080676,"NE"
"171",1988,"count-Seal",NA,"NE"
"172",1988,"count-Monomoy",NA,"NE"
"173",1988,"count-Muskeget",5,"NE"
"174",1988,"count-Green",NA,"NE"
"175",1988,"count-Nomans.Land",NA,"NE"
"176",1989,"count-Seal",NA,"NE"
"177",1989,"count-Monomoy",NA,"NE"
"178",1989,"count-Muskeget",0,"NE"
"179",1989,"count-Green",NA,"NE"
"180",1989,"count-Nomans.Land",NA,"NE"
"181",1990,"count-Seal",NA,"NE"
"182",1990,"count-Monomoy",9,"NE"
"183",1990,"count-Muskeget",NA,"NE"
"184",1990,"count-Green",NA,"NE"
"185",1990,"count-Nomans.Land",NA,"NE"
"186",1991,"count-Seal",NA,"NE"
"187",1991,"count-Monomoy",3,"NE"
"188",1991,"count-Muskeget",6,"NE"
"189",1991,"count-Green",NA,"NE"
"190",1991,"count-Nomans.Land",NA,"NE"
"191",1992,"count-Seal",NA,"NE"
"192",1992,"count-Monomoy",0,"NE"
"193",1992,"count-Muskeget",12,"NE"
"194",1992,"count-Green",NA,"NE"
"195",1992,"count-Nomans.Land",NA,"NE"
"196",1993,"count-Seal",NA,"NE"
"197",1993,"count-Monomoy",NA,"NE"
"198",1993,"count-Muskeget",28,"NE"
"199",1993,"count-Green",NA,"NE"
"200",1993,"count-Nomans.Land",NA,"NE"
"201",1994,"count-Seal",0,"NE"
"202",1994,"count-Monomoy",1,"NE"
"203",1994,"count-Muskeget",57,"NE"
"204",1994,"count-Green",39,"NE"
"205",1994,"count-Nomans.Land",NA,"NE"
"206",1995,"count-Seal",NA,"NE"
"207",1995,"count-Monomoy",2,"NE"
"208",1995,"count-Muskeget",98,"NE"
"209",1995,"count-Green",48,"NE"
"210",1995,"count-Nomans.Land",NA,"NE"
"211",1996,"count-Seal",NA,"NE"
"212",1996,"count-Monomoy",6,"NE"
"213",1996,"count-Muskeget",162,"NE"
"214",1996,"count-Green",NA,"NE"
"215",1996,"count-Nomans.Land",NA,"NE"
"216",1997,"count-Seal",NA,"NE"
"217",1997,"count-Monomoy",10,"NE"
"218",1997,"count-Muskeget",212,"NE"
"219",1997,"count-Green",33,"NE"
"220",1997,"count-Nomans.Land",NA,"NE"
"221",1998,"count-Seal",NA,"NE"
"222",1998,"count-Monomoy",NA,"NE"
"223",1998,"count-Muskeget",333,"NE"
"224",1998,"count-Green",NA,"NE"
"225",1998,"count-Nomans.Land",NA,"NE"
"226",1999,"count-Seal",NA,"NE"
"227",1999,"count-Monomoy",NA,"NE"
"228",1999,"count-Muskeget",472,"NE"
"229",1999,"count-Green",28,"NE"
"230",1999,"count-Nomans.Land",NA,"NE"
"231",2000,"count-Seal",77,"NE"
"232",2000,"count-Monomoy",NA,"NE"
"233",2000,"count-Muskeget",633,"NE"
"234",2000,"count-Green",33,"NE"
"235",2000,"count-Nomans.Land",NA,"NE"
"236",2001,"count-Seal",91,"NE"
"237",2001,"count-Monomoy",NA,"NE"
"238",2001,"count-Muskeget",NA,"NE"
"239",2001,"count-Green",NA,"NE"
"240",2001,"count-Nomans.Land",NA,"NE"
"241",2002,"count-Seal",147,"NE"
"242",2002,"count-Monomoy",0,"NE"
"243",2002,"count-Muskeget",883,"NE"
"244",2002,"count-Green",34,"NE"
"245",2002,"count-Nomans.Land",NA,"NE"
"246",2003,"count-Seal",NA,"NE"
"247",2003,"count-Monomoy",0,"NE"
"248",2003,"count-Muskeget",NA,"NE"
"249",2003,"count-Green",NA,"NE"
"250",2003,"count-Nomans.Land",NA,"NE"
"251",2004,"count-Seal",150,"NE"
"252",2004,"count-Monomoy",4,"NE"
"253",2004,"count-Muskeget",824,"NE"
"254",2004,"count-Green",26,"NE"
"255",2004,"count-Nomans.Land",NA,"NE"
"256",2005,"count-Seal",365,"NE"
"257",2005,"count-Monomoy",1,"NE"
"258",2005,"count-Muskeget",992,"NE"
"259",2005,"count-Green",33,"NE"
"260",2005,"count-Nomans.Land",NA,"NE"
"261",2006,"count-Seal",239,"NE"
"262",2006,"count-Monomoy",8,"NE"
"263",2006,"count-Muskeget",868,"NE"
"264",2006,"count-Green",43,"NE"
"265",2006,"count-Nomans.Land",NA,"NE"
"266",2007,"count-Seal",364,"NE"
"267",2007,"count-Monomoy",9,"NE"
"268",2007,"count-Muskeget",1704,"NE"
"269",2007,"count-Green",57,"NE"
"270",2007,"count-Nomans.Land",NA,"NE"
"271",2008,"count-Seal",466,"NE"
"272",2008,"count-Monomoy",2,"NE"
"273",2008,"count-Muskeget",2095,"NE"
"274",2008,"count-Green",59,"NE"
"275",2008,"count-Nomans.Land",NA,"NE"
"276",2009,"count-Seal",NA,"NE"
"277",2009,"count-Monomoy",68,"NE"
"278",2009,"count-Muskeget",NA,"NE"
"279",2009,"count-Green",48,"NE"
"280",2009,"count-Nomans.Land",NA,"NE"
"281",2010,"count-Seal",NA,"NE"
"282",2010,"count-Monomoy",154,"NE"
"283",2010,"count-Muskeget",1841,"NE"
"284",2010,"count-Green",51,"NE"
"285",2010,"count-Nomans.Land",NA,"NE"
"286",2011,"count-Seal",NA,"NE"
"287",2011,"count-Monomoy",325,"NE"
"288",2011,"count-Muskeget",3173,"NE"
"289",2011,"count-Green",65,"NE"
"290",2011,"count-Nomans.Land",1,"NE"
"291",2012,"count-Seal",NA,"NE"
"292",2012,"count-Monomoy",NA,"NE"
"293",2012,"count-Muskeget",2831,"NE"
"294",2012,"count-Green",41,"NE"
"295",2012,"count-Nomans.Land",8,"NE"
"296",2013,"count-Seal",NA,"NE"
"297",2013,"count-Monomoy",633,"NE"
"298",2013,"count-Muskeget",2750,"NE"
"299",2013,"count-Green",NA,"NE"
"300",2013,"count-Nomans.Land",4,"NE"
"301",2014,"count-Seal",NA,"NE"
"302",2014,"count-Monomoy",507,"NE"
"303",2014,"count-Muskeget",3073,"NE"
"304",2014,"count-Green",30,"NE"
"305",2014,"count-Nomans.Land",16,"NE"
"306",2015,"count-Seal",NA,"NE"
"307",2015,"count-Monomoy",768,"NE"
"308",2015,"count-Muskeget",NA,"NE"
"309",2015,"count-Green",33,"NE"
"310",2015,"count-Nomans.Land",23,"NE"
"311",2016,"count-Seal",1043,"NE"
"312",2016,"count-Monomoy",935,"NE"
"313",2016,"count-Muskeget",3787,"NE"
"314",2016,"count-Green",34,"NE"
"315",2016,"count-Nomans.Land",32,"NE"
"316",2017,"count-Seal",NA,"NE"
"317",2017,"count-Monomoy",NA,"NE"
"318",2017,"count-Muskeget",NA,"NE"
"319",2017,"count-Green",NA,"NE"
"320",2017,"count-Nomans.Land",NA,"NE"
"321",2018,"count-Seal",NA,"NE"
"322",2018,"count-Monomoy",NA,"NE"
"323",2018,"count-Muskeget",NA,"NE"
"324",2018,"count-Green",NA,"NE"
"325",2018,"count-Nomans.Land",NA,"NE"
"326",2019,"count-Seal",854,"NE"
"327",2019,"count-Monomoy",1190,"NE"
"328",2019,"count-Muskeget",3532,"NE"
"329",2019,"count-Green",16,"NE"
"330",2019,"count-Nomans.Land",72,"NE"
"331",2020,"count-Seal",NA,"NE"
"332",2020,"count-Monomoy",NA,"NE"
"333",2020,"count-Muskeget",NA,"NE"
"334",2020,"count-Green",NA,"NE"
"335",2020,"count-Nomans.Land",NA,"NE"
"336",2021,"count-Seal",819,"NE"
"337",2021,"count-Monomoy",772,"NE"
"338",2021,"count-Muskeget",3898,"NE"
"339",2021,"count-Green",12,"NE"
"340",2021,"count-Nomans.Land",163,"NE"
